id,email,password,date_enrolled,class_level,created_at,updated_at,person_id,department_id
1,rbrackenbury0@eagleu.edu,354 Redwing Crossing,2/23/2015,SOPHOMORE,9/12/2016 9:46,11/21/2016 12:22,1,ARCH
2,fscurry1@eagleu.edu,5 Cottonwood Pass,11/14/2016,SOPHOMORE,8/16/2016 11:40,7/28/2016 4:09,2,ENGR
3,gnardoni2@eagleu.edu,68 Crest Line Lane,9/10/2016,SOPHOMORE,5/25/2017 14:45,10/12/2016 13:25,3,FINN
4,jvanarsdall3@eagleu.edu,4904 Clarendon Way,6/8/2014,JUNIOR,9/16/2016 18:05,2/18/2017 1:17,4,HIST
5,llarn4@eagleu.edu,92 Sunbrook Center,3/20/2014,JUNIOR,5/2/2017 19:28,4/8/2017 10:40,5,ITCS
6,gpurdon5@eagleu.edu,6 Novick Parkway,11/7/2013,SENIOR,10/27/2016 17:19,5/22/2017 4:02,6,LBST
7,efealy6@eagleu.edu,810 Summer Ridge Terrace,5/9/2014,JUNIOR,12/4/2016 15:38,7/11/2016 22:41,7,MATH
8,tschafer7@eagleu.edu,9 Birchwood Drive,11/7/2016,SOPHOMORE,2/12/2017 17:50,4/2/2017 21:59,8,PHYS
9,smcdade8@eagleu.edu,9 Del Sol Center,2/4/2015,SOPHOMORE,3/28/2017 10:02,1/17/2017 22:36,9,ARCH
10,wteacy9@eagleu.edu,765 Corscot Lane,9/6/2016,SOPHOMORE,11/29/2016 4:21,4/23/2017 15:32,10,ENGR
11,rdoeya@eagleu.edu,13 Dwight Drive,11/9/2013,SENIOR,9/26/2016 2:16,11/10/2016 6:06,11,FINN
12,cpealb@eagleu.edu,722 Blaine Hill,11/14/2016,SOPHOMORE,7/12/2016 19:05,12/14/2016 11:25,12,HIST
13,ekermitc@eagleu.edu,0809 Delladonna Parkway,3/18/2016,SOPHOMORE,3/14/2017 10:57,1/30/2017 21:48,13,ITCS
14,fdurringtond@eagleu.edu,8 Utah Drive,12/11/2015,SOPHOMORE,5/6/2017 5:41,10/22/2016 14:22,14,LBST
15,lpriddye@eagleu.edu,6234 Claremont Trail,2/3/2014,JUNIOR,4/18/2017 22:33,1/7/2017 18:55,15,MATH
16,rgoskerf@eagleu.edu,8 Hansons Junction,1/14/2017,FRESHMAN,3/25/2017 5:29,5/4/2017 7:56,16,PHYS
17,rvellenderg@eagleu.edu,72 Stone Corner Court,10/29/2012,SENIOR,6/18/2016 7:56,1/30/2017 15:32,17,ARCH
18,iskelhorneh@eagleu.edu,69 Waywood Alley,5/31/2015,SOPHOMORE,12/8/2016 12:27,10/29/2016 1:21,18,ENGR
19,hloriei@eagleu.edu,6917 Erie Center,2/17/2013,SENIOR,8/16/2016 18:21,1/30/2017 8:31,19,FINN
20,jroglieroj@eagleu.edu,3974 Elgar Way,6/29/2016,SOPHOMORE,8/9/2016 14:27,5/19/2017 8:09,20,HIST
21,msarathk@eagleu.edu,7905 Roth Point,1/26/2013,SENIOR,12/5/2016 8:37,1/2/2017 13:20,21,ITCS
22,pswangerl@eagleu.edu,742 Prentice Alley,7/10/2014,JUNIOR,5/22/2017 1:57,5/15/2017 13:09,22,LBST
23,ogiggm@eagleu.edu,34 Valley Edge Alley,3/4/2015,SOPHOMORE,2/18/2017 21:14,12/28/2016 13:22,23,MATH
24,bpowelln@eagleu.edu,4652 Lukken Point,5/28/2017,FRESHMAN,4/4/2017 6:26,12/25/2016 11:05,24,PHYS
25,amarkso@eagleu.edu,4163 Heath Trail,5/12/2015,SOPHOMORE,11/21/2016 4:36,2/24/2017 0:43,25,ARCH
26,dmolineuxp@eagleu.edu,0 Rieder Pass,2/24/2014,JUNIOR,1/17/2017 19:56,2/25/2017 2:43,26,ENGR
27,rcowieq@eagleu.edu,1 Coolidge Place,7/30/2016,SOPHOMORE,8/7/2016 20:27,1/18/2017 17:03,27,FINN
28,elesterr@eagleu.edu,664 Barnett Plaza,10/21/2012,SENIOR,2/27/2017 1:30,1/4/2017 3:35,28,HIST
29,nshellidays@eagleu.edu,2335 Carberry Pass,9/9/2012,SENIOR,12/9/2016 10:37,5/20/2017 6:57,29,ITCS
30,fsprottt@eagleu.edu,4 Hooker Parkway,8/25/2016,SOPHOMORE,10/19/2016 15:23,9/15/2016 19:19,30,LBST
31,hheinsiusu@eagleu.edu,069 Duke Point,3/8/2013,SENIOR,5/28/2017 3:39,12/1/2016 18:43,31,MATH
32,cfelipev@eagleu.edu,21429 Kingsford Plaza,11/2/2013,SENIOR,2/24/2017 3:09,3/3/2017 14:05,32,PHYS
33,fkubasw@eagleu.edu,4174 Delladonna Lane,2/16/2016,SOPHOMORE,10/19/2016 7:39,6/28/2016 9:01,33,ARCH
34,gtaborrex@eagleu.edu,2 American Way,3/19/2013,SENIOR,4/2/2017 10:16,12/10/2016 0:42,34,ENGR
35,ggrosvenery@eagleu.edu,5999 Park Meadow Parkway,2/14/2013,SENIOR,9/20/2016 23:41,12/23/2016 12:43,35,FINN
36,agriffithz@eagleu.edu,320 Fair Oaks Road,6/10/2015,SOPHOMORE,10/5/2016 18:53,2/7/2017 23:11,36,HIST
37,bclissold10@eagleu.edu,6399 Kennedy Avenue,5/11/2015,SOPHOMORE,7/11/2016 23:41,3/5/2017 0:08,37,ITCS
38,wsilversmid11@eagleu.edu,8 Village Pass,12/13/2014,JUNIOR,12/26/2016 16:22,5/25/2017 0:27,38,LBST
39,lcortes12@eagleu.edu,480 Jackson Crossing,8/19/2013,SENIOR,12/6/2016 13:07,10/16/2016 5:47,39,MATH
40,mcrippes13@eagleu.edu,634 Browning Circle,7/26/2016,SOPHOMORE,3/10/2017 15:16,9/14/2016 8:37,40,PHYS
41,emacvey14@eagleu.edu,872 Spaight Parkway,1/13/2013,SENIOR,1/1/2017 18:42,5/27/2017 6:39,41,ARCH
42,adenisyuk15@eagleu.edu,6 Graedel Parkway,12/22/2016,SOPHOMORE,1/26/2017 10:34,1/24/2017 7:21,42,ENGR
43,jbalcers16@eagleu.edu,0414 Red Cloud Point,12/23/2016,SOPHOMORE,8/17/2016 13:21,8/20/2016 2:39,43,FINN
44,khulburt17@eagleu.edu,61515 Warbler Road,2/27/2017,FRESHMAN,8/3/2016 17:12,1/25/2017 15:03,44,HIST
45,wrowler18@eagleu.edu,905 Nancy Trail,9/25/2015,SOPHOMORE,5/14/2017 7:03,7/5/2016 9:41,45,ITCS
